,date,temperature_2m_max
219,2010-08-07 08:00:00+00:00,79.161804
220,2010-08-08 08:00:00+00:00,77.9918
221,2010-08-09 08:00:00+00:00,81.411804
222,2010-08-10 08:00:00+00:00,81.7718
223,2010-08-11 08:00:00+00:00,81.5918
224,2010-08-12 08:00:00+00:00,82.7618
225,2010-08-13 08:00:00+00:00,85.4618
226,2010-08-14 08:00:00+00:00,85.5518
227,2010-08-15 08:00:00+00:00,89.0618
228,2010-08-16 08:00:00+00:00,90.771805
229,2010-08-17 08:00:00+00:00,93.65181
230,2010-08-18 08:00:00+00:00,94.10181
231,2010-08-19 08:00:00+00:00,93.201805
232,2010-08-20 08:00:00+00:00,93.021805
233,2010-08-21 08:00:00+00:00,93.2918
234,2010-08-22 08:00:00+00:00,94.10181
235,2010-08-23 08:00:00+00:00,98.3318
236,2010-08-24 08:00:00+00:00,101.93181
237,2010-08-25 08:00:00+00:00,101.3918
238,2010-08-26 08:00:00+00:00,97.521805
239,2010-08-27 08:00:00+00:00,88.8818
240,2010-08-28 08:00:00+00:00,75.4718
241,2010-08-29 08:00:00+00:00,74.4818
242,2010-08-30 08:00:00+00:00,76.8218
243,2010-08-31 08:00:00+00:00,84.741806
244,2010-09-01 08:00:00+00:00,90.3218
245,2010-09-02 08:00:00+00:00,93.9218
246,2010-09-03 08:00:00+00:00,95.991806
247,2010-09-04 08:00:00+00:00,100.40181
248,2010-09-05 08:00:00+00:00,90.8618
249,2010-09-06 08:00:00+00:00,81.3218
250,2010-09-07 08:00:00+00:00,76.0118
251,2010-09-08 08:00:00+00:00,72.5018
252,2010-09-09 08:00:00+00:00,75.1118
253,2010-09-10 08:00:00+00:00,80.7818
254,2010-09-11 08:00:00+00:00,84.1118
255,2010-09-12 08:00:00+00:00,86.3618
256,2010-09-13 08:00:00+00:00,87.9818
257,2010-09-14 08:00:00+00:00,87.261795
258,2010-09-15 08:00:00+00:00,83.4818
259,2010-09-16 08:00:00+00:00,84.5618
260,2010-09-17 08:00:00+00:00,81.6818
261,2010-09-18 08:00:00+00:00,83.7518
262,2010-09-19 08:00:00+00:00,84.741806
263,2010-09-20 08:00:00+00:00,82.6718
264,2010-09-21 08:00:00+00:00,75.2918
265,2010-09-22 08:00:00+00:00,73.1318
266,2010-09-23 08:00:00+00:00,84.3818
267,2010-09-24 08:00:00+00:00,96.6218
268,2010-09-25 08:00:00+00:00,101.75181
269,2010-09-26 08:00:00+00:00,104.3618
270,2010-09-27 08:00:00+00:00,109.5818
271,2010-09-28 08:00:00+00:00,96.0818
272,2010-09-29 08:00:00+00:00,90.951805
273,2010-09-30 08:00:00+00:00,94.1918
274,2010-10-01 08:00:00+00:00,89.4218
275,2010-10-02 08:00:00+00:00,86.721794
276,2010-10-03 08:00:00+00:00,83.0318
277,2010-10-04 08:00:00+00:00,66.2918
278,2010-10-05 08:00:00+00:00,65.121796
279,2010-10-06 08:00:00+00:00,61.7918
280,2010-10-07 08:00:00+00:00,70.7918
281,2010-10-08 08:00:00+00:00,78.9818
282,2010-10-09 08:00:00+00:00,87.621796
283,2010-10-10 08:00:00+00:00,93.1118
284,2010-10-11 08:00:00+00:00,87.8918
285,2010-10-12 08:00:00+00:00,86.5418
286,2010-10-13 08:00:00+00:00,92.841805
287,2010-10-14 08:00:00+00:00,85.82179
288,2010-10-15 08:00:00+00:00,77.0018
289,2010-10-16 08:00:00+00:00,74.8418
290,2010-10-17 08:00:00+00:00,68.7218
291,2010-10-18 08:00:00+00:00,67.1018
292,2010-10-19 08:00:00+00:00,69.5318
293,2010-10-20 08:00:00+00:00,64.6718
294,2010-10-21 08:00:00+00:00,63.6818
295,2010-10-22 08:00:00+00:00,62.3318
296,2010-10-23 08:00:00+00:00,64.8518
297,2010-10-24 08:00:00+00:00,66.5618
298,2010-10-25 08:00:00+00:00,72.1418
299,2010-10-26 08:00:00+00:00,72.1418
300,2010-10-27 08:00:00+00:00,76.7318
301,2010-10-28 08:00:00+00:00,79.9718
302,2010-10-29 08:00:00+00:00,77.4518
303,2010-10-30 08:00:00+00:00,65.3918
304,2010-10-31 08:00:00+00:00,72.1418
305,2010-11-01 08:00:00+00:00,84.6518
306,2010-11-02 08:00:00+00:00,89.511795
307,2010-11-03 08:00:00+00:00,95.00181
308,2010-11-04 08:00:00+00:00,94.3718
309,2010-11-05 08:00:00+00:00,87.0818
310,2010-11-06 08:00:00+00:00,74.0318
311,2010-11-07 08:00:00+00:00,66.4718
312,2010-11-08 08:00:00+00:00,67.4618
313,2010-11-09 08:00:00+00:00,68.9918
314,2010-11-10 08:00:00+00:00,66.5618
315,2010-11-11 08:00:00+00:00,71.4218
316,2010-11-12 08:00:00+00:00,77.9018
317,2010-11-13 08:00:00+00:00,80.7818
318,2010-11-14 08:00:00+00:00,81.8618
319,2010-11-15 08:00:00+00:00,76.1918
320,2010-11-16 08:00:00+00:00,71.3318
321,2010-11-17 08:00:00+00:00,77.9018
322,2010-11-18 08:00:00+00:00,75.7418
323,2010-11-19 08:00:00+00:00,59.811802
324,2010-11-20 08:00:00+00:00,57.8318
325,2010-11-21 08:00:00+00:00,57.2918
326,2010-11-22 08:00:00+00:00,58.8218
327,2010-11-23 08:00:00+00:00,57.561802
328,2010-11-24 08:00:00+00:00,56.5718
329,2010-11-25 08:00:00+00:00,60.8018
330,2010-11-26 08:00:00+00:00,65.3018
331,2010-11-27 08:00:00+00:00,57.651802
332,2010-11-28 08:00:00+00:00,55.9418
333,2010-11-29 08:00:00+00:00,60.7118
334,2010-11-30 08:00:00+00:00,64.5818
335,2010-12-01 08:00:00+00:00,72.0518
336,2010-12-02 08:00:00+00:00,72.411804
337,2010-12-03 08:00:00+00:00,70.4318
338,2010-12-04 08:00:00+00:00,65.661804
339,2010-12-05 08:00:00+00:00,70.4318
340,2010-12-06 08:00:00+00:00,67.1018
341,2010-12-07 08:00:00+00:00,73.8518
342,2010-12-08 08:00:00+00:00,71.7818
343,2010-12-09 08:00:00+00:00,71.0618
344,2010-12-10 08:00:00+00:00,73.4918
345,2010-12-11 08:00:00+00:00,78.3518
